win_rate,win_rate_percent,attendance,,,total_homegame_attendance,year,,,win_rate,win_rate_percent,year,,,attendance,win_rate,win_rate_percent,team,,NYA,2006902,1950,1930529,1951,-76373,,,,,,,
0.00,0.0,450,,,274000,1871,,,0.64516129,64.5,1871,,,11000,0.33766233766233766234,33.8,BOS,,SLN,2111922,1982,2036397,1983,-75525,,,,,,,
0.05,4.5,11324,,,219050,1872,,,0.64516129,64.5,1871,,,11156,0.31612903225806451613,31.6,BOS,,PHA,298000,1929,230000,1930,-68000,,,,,,,
0.08,7.7,4277,,,272497,1874,,,0.678571429,67.9,1871,,,26000,0.59523809523809523810,59.5,BOS,,NYA,1039111,1937,972866,1938,-66245,,,,,,,
0.10,10.3,3400,,,398576,1875,,,0.678571429,67.9,1871,,,32063,0.48387096774193548387,48.4,BOS,,NYA,3293259,1999,3227657,2000,-65602,,,,,,,
0.14,14.3,3300,,,201558,1886,,,0.344827586,34.5,1871,,,36000,0.37419354838709677419,37.4,BOS,,SLN,2089645,1967,2032257,1968,-57388,,,,,,,
0.15,14.9,700,,,390425,1887,,,0.344827586,34.5,1871,,,37000,0.27922077922077922078,27.9,BOS,,NY1,51900,1888,7490,1889,-44410,,,,,,,
0.15,14.9,14404,,,171914,1888,,,0.368421053,36.8,1871,,,47000,0.40522875816993464052,40.5,BOS,,NYA,1067362,1936,1039111,1937,-28251,,,,,,,
0.16,16.0,1000,,,142119,1889,,,0.484848485,48.5,1871,,,60000,0.33766233766233766234,33.8,BOS,,CHA,140297,1906,121000,1911,-19297,,,,,,,
0.16,16.0,5200,,,359487,1890,,,0.75,75.0,1871,,,67000,0.47826086956521739130,47.8,BOS,,SL4,33000,1886,16700,1887,-16300,,,,,,,
0.17,16.7,4275,,,46480,1891,,,0.16,16.0,1871,,,93568,0.50980392156862745098,51.0,BOS,,NYA,972866,1938,965387,1939,-7479,,,,,,,
0.18,17.9,200,,,63177,1892,,,0.16,16.0,1871,,,93800,0.39610389610389610390,39.6,BOS,,CIN,285151,1919,292000,1920,6849,,,,,,,
0.18,17.9,2000,,,131307,1893,,,0.448275862,44.8,1871,,,105823,0.57232704402515723270,57.2,BOS,,TOR,4028318,1992,4057747,1993,29429,,,,,,,
0.18,17.9,8350,,,2291238,1894,,,0.46875,46.9,1871,,,106000,0.29870129870129870130,29.9,BOS,,DTN,16700,1887,51900,1888,35200,,,,,,0.546296296,lost attendance
0.19,19.1,11100,,,118600,1895,,,0.46875,46.9,1871,,,106000,0.37419354838709677419,37.4,BOS,,PIT,1707089,1960,1747726,1961,40637,,,,,,,
0.19,19.3,3000,,,118500,1897,,,0.46875,46.9,1871,,,122618,0.40522875816993464052,40.5,BOS,,SFN,3037267,2010,3093954,2011,56687,,,,,,,
0.21,20.8,500,,,7000,1898,,,0.46875,46.9,1871,,,137000,0.46753246753246753247,46.8,BOS,,OAK,927544,1972,1000045,1973,72501,,,,,,,
0.21,20.8,600,,,48000,1899,,,0.603448276,60.3,1872,,,140000,0.30921052631578947368,30.9,BOS,,NYA,2255051,1996,2352567,1997,97516,,,,,,,
0.21,20.8,1200,,,288929,1900,,,0.103448276,10.3,1872,,,147000,0.42281879194630872483,42.3,BOS,,NYA,2316023,1977,2424399,1978,108376,,,,,,,
0.21,21.1,5700,,,133603,1901,,,0.243243243,24.3,1872,,,153500,0.48701298701298701299,48.7,BOS,,NY1,7490,1889,140297,1906,132807,,,,,,,
0.22,22.0,10000,,,746636,1906,,,0.8125,81.3,1872,,,187000,0.37012987012987012987,37.0,BOS,,DET,2032257,1968,2192091,1969,159834,,,,,,,
0.22,22.2,700,,,84555,1908,,,0.272727273,27.3,1872,,,197100,0.39610389610389610390,39.6,BOS,,SLN,532938,1942,696037,1943,163099,,,,,,,
0.22,22.4,6700,,,1119166,1911,,,0.272727273,27.3,1872,,,289500,0.33116883116883116883,33.1,BOS,,PHA,230000,1930,408350,1931,178350,,,,,,,
0.24,23.8,5000,,,6356501,1912,,,0.208333333,20.8,1872,,,303500,0.42675159235668789809,42.7,BOS,,CIN,856577,1940,1053678,1941,197101,,,,,,,
0.24,24.3,8350,,,3175179,1913,,,0.208333333,20.8,1872,,,366173,0.65161290322580645161,65.2,BOS,,BOS,26000,1918,285151,1919,259151,,,,,,,
0.25,24.8,181274,,,5285641,1914,,,0.208333333,20.8,1872,,,372897,0.49673202614379084967,49.7,BOS,,SLN,3093954,2011,3377371,2012,283417,,,,,,,
0.25,24.8,925807,,,3834005,1915,,,0.607142857,60.7,1872,,,382197,0.43870967741935483871,43.9,BOS,,PHI,3422583,2008,3719358,2009,296775,,,,,,,
0.26,25.7,21200,,,943500,1916,,,0.638297872,63.8,1872,,,402985,0.57324840764331210191,57.3,BOS,,CIN,2315603,1975,2629708,1976,314105,,,,,,,
0.26,26.0,6362,,,3524302,1917,,,0.6,60.0,1872,,,449427,0.50649350649350649351,50.6,BOS,,NYA,2949734,1998,3293259,1999,343525,,,,,,,
0.26,26.3,5000,,,738380,1918,,,0.6,60.0,1872,,,476100,0.52317880794701986755,52.3,BOS,,SLN,408350,1931,761856,1932,353506,,,,,,,
0.27,26.5,1368245,,,3408707,1919,,,0.222222222,22.2,1872,,,546353,0.49358974358974358974,49.4,BOS,,DET,703500,1935,1067362,1936,363862,,,,,,,
0.27,26.9,2292,,,4762688,1920,,,0,0.0,1872,,,573913,0.51948051948051948052,51.9,BOS,,WS1,338500,1924,710353,1925,371853,,,,,,,
0.27,27.1,686671,,,5451834,1921,,,0.191489362,19.1,1874,,,645846,0.45222929936305732484,45.2,BOS,,BOS,366173,1915,741000,1917,374827,,,,,,,
0.27,27.3,1500,,,5074630,1922,,,0.392857143,39.3,1874,,,649996,0.47741935483870967742,47.7,BOS,,NYA,2225010,1947,2659990,1948,434980,,,,,,,
0.27,27.3,5000,,,6966557,1923,,,0.732394366,73.2,1874,,,651761,0.38271604938271604938,38.3,BOS,,BOS,2970755,2007,3422583,2008,451828,,,,,,,
0.28,27.6,142319,,,8019277,1924,,,0.732394366,73.2,1874,,,660998,0.58552631578947368421,58.6,BOS,,BAL,1027904,1970,1540368,1971,512464,,,,,,,
0.28,27.7,81606,,,7533323,1925,,,0.474576271,47.5,1874,,,661100,0.58666666666666666667,58.7,BOS,,KCA,2708549,2015,3232420,2016,523871,,,,,,,
0.28,27.7,101722,,,3812422,1926,,,0.301886792,30.2,1874,,,665050,0.68181818181818181818,68.2,BOS,,BOS,2833333,2013,3368697,2014,535364,,,,,,,
0.28,27.8,72827,,,8300190,1927,,,0.301886792,30.2,1874,,,723710,0.47500000000000000000,47.5,BOS,,PHA,121000,1911,665050,1912,544050,,,,,,,
0.28,27.9,16500,,,4717492,1928,,,0.646153846,64.6,1874,,,747909,0.53246753246753246753,53.2,BOS,,SLN,159174,1934,703500,1935,544326,,,,,,,
0.28,27.9,37000,,,5721653,1929,,,0.6,60.0,1874,,,781743,0.61184210526315789474,61.2,BOS,,NYA,1633381,1956,2215041,1957,581660,,,,,,,
0.28,28.3,61000,,,3630889,1930,,,0.5,50.0,1874,,,784344,0.54193548387096774194,54.2,BOS,,FLO,2352567,1997,2949734,1998,597167,,,,,,,
0.29,28.9,6000,,,4854493,1931,,,0.045454545,4.5,1875,,,815197,0.44444444444444444444,44.4,BOS,,KCA,2162715,1985,2762417,1986,599702,,,,,,,
0.29,29.1,4200,,,4021761,1932,,,0.865853659,86.6,1875,,,850846,0.46625766871165644172,46.6,BOS,,NY1,973000,1922,1578200,1923,605200,,,,,,,
0.29,29.3,17200,,,4732563,1933,,,0.865853659,86.6,1875,,,883279,0.44444444444444444444,44.4,BOS,,BRO,1021489,1955,1633381,1956,611892,,,,,,,
0.29,29.5,46377,,,3099744,1934,,,0.865853659,86.6,1875,,,930393,0.44230769230769230769,44.2,BOS,,BAL,2036397,1983,2704794,1984,668397,,,,,,,
0.30,29.6,21266,,,5989700,1935,,,0.434782609,43.5,1875,,,942729,0.47204968944099378882,47.2,BOS,,NYA,1396281,1958,2083524,1959,687243,,,,,,,
0.30,29.6,364925,,,7467871,1936,,,0.627906977,62.8,1875,,,990103,0.48701298701298701299,48.7,BOS,,SLN,521512,1944,1247943,1945,726431,,,,,,,
0.30,29.8,59195,,,7438114,1937,,,0.627906977,62.8,1875,,,1060659,0.54629629629629629630,54.6,BOS,,CLE,292000,1920,1139500,1921,847500,,,,,,,
0.30,29.8,98017,,,8613051,1938,,,0.076923077,7.7,1875,,,1109909,0.54901960784313725490,54.9,BOS,,BAL,1203424,1966,2089645,1967,886221,,,,,,,
0.30,29.9,106000,,,10280374,1939,,,0.14893617,14.9,1875,,,1113379,0.50967741935483870968,51.0,BOS,,MIN,2082203,1987,2980262,1988,898059,,,,,,,
0.30,29.9,267059,,,10904220,1940,,,0.14893617,14.9,1875,,,1129765,0.42207792207792207792,42.2,BOS,,NYA,1606325,1962,2538659,1963,932334,,,,,,,
0.30,30.2,500,,,9540286,1941,,,0.422535211,42.3,1875,,,1137658,0.54193548387096774194,54.2,BOS,,CHA,2342834,2005,3407104,2006,1064270,,,,,,,
0.30,30.2,28355,,,8528539,1942,,,0.688311688,68.8,1875,,,1149053,0.49350649350649350649,49.4,BOS,,SLN,1060087,1946,2225010,1947,1164923,,,,,,,
0.30,30.3,2792,,,8003260,1943,,,0.688311688,68.8,1875,,,1181184,0.53246753246753246753,53.2,BOS,,SLN,279279,1926,1488141,1927,1208862,,,,,,,
0.30,30.3,589994,,,9112608,1944,,,0.528571429,52.9,1875,,,1202885,0.54545454545454545455,54.5,BOS,,PIT,1435427,1979,2658957,1980,1223530,,,,,,,
0.30,30.5,1755366,,,11152605,1945,,,0.528571429,52.9,1875,,,1311663,0.56493506493506493506,56.5,BOS,,SLN,1142667,1964,2560648,1965,1417981,,,,,,,
0.31,30.5,25391,,,18315756,1946,,,0.528571429,52.9,1875,,,1344177,0.61038961038961038961,61.0,BOS,,OAK,836662,1974,2315603,1975,1478941,,,,,,,
0.31,30.8,15678,,,20202760,1947,,,0.142857143,14.3,1875,,,1393273,0.66666666666666666667,66.7,BOS,,FLO,1303214,2003,2837304,2004,1534090,,,,,,,
0.31,30.8,60400,,,21109792,1948,,,0.210526316,21.1,1875,,,1423484,0.54838709677419354839,54.8,BOS,,MIN,2293842,1991,4028318,1992,1734476,,,,,,,
0.31,30.9,140000,,,20560198,1949,,,0.557142857,55.7,1875,,,1460821,0.52866242038216560510,52.9,BOS,,CHN,3232420,2016,NULL,NULL,#VALUE!,,,,,,,
0.31,31.5,1077322,,,17415956,1950,,,0.178571429,17.9,1875,,,1483301,0.54938271604938271605,54.9,BOS,,,,,,,,,,,,,,
0.31,31.5,1651883,,,16193285,1951,,,0.178571429,17.9,1875,,,1558391,0.51851851851851851852,51.9,BOS,,,,,,,,,,,,,,
0.31,31.5,2519560,,,14598362,1952,,,0.178571429,17.9,1875,,,1594593,0.53703703703703703704,53.7,BOS,,,,,,,,,,,,,,
0.32,31.6,11156,,,14865512,1953,,,0.345323741,34.5,1886,,,1602119,0.61935483870967741935,61.9,BOS,,,,,,,,,,,,,,
0.32,31.6,261422,,,16530717,1954,,,0.539007092,53.9,1886,,,1630612,0.52469135802469135802,52.5,BOS,,,,,,,,,,,,,,
0.32,31.6,561737,,,16663422,1955,,,0.539007092,53.9,1886,,,1631937,0.61935483870967741935,61.9,BOS,,,,,,,,,,,,,,
0.32,31.9,4000,,,16867130,1956,,,0.714285714,71.4,1886,,,1660551,0.53086419753086419753,53.1,BOS,,,,,,,,,,,,,,
0.32,32.1,1026966,,,17134050,1957,,,0.460992908,46.1,1886,,,1694362,0.56790123456790123457,56.8,BOS,,,,,,,,,,,,,,
0.32,32.1,626847,,,17403305,1958,,,0.69047619,69.0,1886,,,1748518,0.59375000000000000000,59.4,BOS,,,,,,,,,,,,,,
0.32,32.1,1213277,,,19257785,1959,,,0.238095238,23.8,1886,,,1775541,0.46956521739130434783,47.0,BOS,,,,,,,,,,,,,,
0.32,32.2,11333,,,19982155,1960,,,0.47826087,47.8,1886,,,1780794,0.48148148148148148148,48.1,BOS,,,,,,,,,,,,,,
0.32,32.2,103000,,,18933109,1961,,,0.60483871,60.5,1886,,,1786463,0.49693251533742331288,49.7,BOS,,,,,,,,,,,,,,
0.32,32.3,83100,,,21482104,1962,,,0.386861314,38.7,1886,,,1837449,0.53703703703703703704,53.7,BOS,,,,,,,,,,,,,,
0.32,32.4,2000,,,20781356,1963,,,0.45323741,45.3,1886,,,1882655,0.53086419753086419753,53.1,BOS,,,,,,,,,,,,,,
0.32,32.4,6150,,,21286902,1964,,,0.596638655,59.7,1886,,,1895885,0.51234567901234567901,51.2,BOS,,,,,,,,,,,,,,
0.32,32.5,560212,,,22554650,1965,,,0.571428571,57.1,1886,,,1954038,0.54938271604938271605,54.9,BOS,,,,,,,,,,,,,,
0.32,32.5,788826,,,25317318,1966,,,0.669064748,66.9,1886,,,1956110,0.51875000000000000000,51.9,BOS,,,,,,,,,,,,,,
0.32,32.5,228866,,,23988754,1967,,,0.341269841,34.1,1886,,,2074549,0.60248447204968944099,60.2,BOS,,,,,,,,,,,,,,
0.33,32.5,1734389,,,22961411,1968,,,0.224,22.4,1886,,,2146694,0.59006211180124223602,59.0,BOS,,,,,,,,,,,,,,
0.33,32.6,1000,,,27353371,1969,,,0.546099291,54.6,1887,,,2164401,0.59722222222222222222,59.7,BOS,,,,,,,,,,,,,,
0.33,32.6,5200,,,28696564,1970,,,0.434782609,43.5,1887,,,2223602,0.48148148148148148148,48.1,BOS,,,,,,,,,,,,,,
0.33,32.7,26000,,,29242960,1971,,,0.434782609,43.5,1887,,,2231649,0.48148148148148148148,48.1,BOS,,,,,,,,,,,,,,
0.33,32.7,36000,,,27486353,1972,,,0.480314961,48.0,1887,,,2315349,0.52469135802469135802,52.5,BOS,,,,,,,,,,,,,,
0.33,32.7,298470,,,30121605,1973,,,0.559055118,55.9,1887,,,2320210,0.60736196319018404908,60.7,BOS,,,,,,,,,,,,,,
0.33,32.7,307816,,,29987722,1974,,,0.293233083,29.3,1887,,,2343930,0.56790123456790123457,56.8,BOS,,,,,,,,,,,,,,
0.33,32.7,307652,,,29802827,1975,,,0.595588235,59.6,1887,,,2353125,0.56875000000000000000,56.9,BOS,,,,,,,,,,,,,,
0.33,32.7,1168610,,,31318835,1976,,,0.622047244,62.2,1887,,,2422054,0.49382716049382716049,49.4,BOS,,,,,,,,,,,,,,
0.33,32.7,1431659,,,39263285,1977,,,0.291338583,29.1,1887,,,2446277,0.58024691358024691358,58.0,BOS,,,,,,,,,,,,,,
0.33,32.9,18000,,,40624824,1978,,,0.54676259,54.7,1887,,,2463339,0.54938271604938271605,54.9,BOS,,,,,,,,,,,,,,
0.33,32.9,180000,,,43607237,1979,,,0.527131783,52.7,1887,,,2469489,0.45061728395061728395,45.1,BOS,,,,,,,,,,,,,,
0.33,33.1,155500,,,43080407,1980,,,0.31884058,31.9,1887,,,2512069,0.51234567901234567901,51.2,BOS,,,,,,,,,,,,,,
0.33,33.1,289500,,,26609605,1981,,,0.467153285,46.7,1887,,,2512898,0.54320987654320987654,54.3,BOS,,,,,,,,,,,,,,
0.33,33.1,799447,,,44643415,1982,,,0.5859375,58.6,1887,,,2585895,0.52469135802469135802,52.5,BOS,,,,,,,,,,,,,,
0.33,33.3,45050,,,45381665,1983,,,0.44,44.0,1887,,,2595356,0.51851851851851851852,51.9,BOS,,,,,,,,,,,,,,
0.33,33.3,306763,,,44752077,1984,,,0.688405797,68.8,1887,,,2625333,0.50931677018633540373,50.9,BOS,,,,,,,,,,,,,,
0.33,33.3,1750395,,,46842182,1985,,,0.365079365,36.5,1887,,,2650859,0.57407407407407407407,57.4,BOS,,,,,,,,,,,,,,
0.34,33.5,1660738,,,47534026,1986,,,0.615384615,61.5,1888,,,2724165,0.58641975308641975309,58.6,BOS,,,,,,,,,,,,,,
0.34,33.5,1794651,,,52028265,1987,,,0.510948905,51.1,1888,,,2833333,0.59876543209876543210,59.9,BOS,,,,,,,,,,,,,,
0.34,33.5,195764,,,52992873,1988,,,0.566176471,56.6,1888,,,2837304,0.60493827160493827160,60.5,BOS,,,,,,,,,,,,,,
0.34,33.8,848097,,,55425463,1989,,,0.37037037,37.0,1888,,,2847798,0.58641975308641975309,58.6,BOS,,,,,,,,,,,,,,
0.34,33.8,240162,,,54973271,1990,,,0.583941606,58.4,1888,,,2880694,0.48148148148148148148,48.1,BOS,,,,,,,,,,,,,,
0.34,33.8,11000,,,56885019,1991,,,0.507462687,50.7,1888,,,2930768,0.53086419753086419753,53.1,BOS,,,,,,,,,,,,,,
0.34,33.8,25000,,,55940849,1992,,,0.367647059,36.8,1888,,,2955434,0.57407407407407407407,57.4,BOS,,,,,,,,,,,,,,
0.34,33.8,60000,,,70258554,1993,,,0.325757576,32.6,1888,,,2956089,0.43827160493827160494,43.8,BOS,,,,,,,,,,,,,,
0.34,33.8,309794,,,49984411,1994,,,0.345323741,34.5,1888,,,2970755,0.59259259259259259259,59.3,BOS,,,,,,,,,,,,,,
0.34,33.8,323395,,,50521460,1995,,,0.608695652,60.9,1888,,,3043003,0.42592592592592592593,42.6,BOS,,,,,,,,,,,,,,
0.34,33.8,1011285,,,60165727,1996,,,0.595588235,59.6,1888,,,3046445,0.54938271604938271605,54.9,BOS,,,,,,,,,,,,,,
0.34,34.0,646698,,,63234442,1997,,,0.522727273,52.3,1888,,,3048250,0.58641975308641975309,58.6,BOS,,,,,,,,,,,,,,
0.34,34.0,1607733,,,70629711,1998,,,0.474820144,47.5,1888,,,3054001,0.55555555555555555556,55.6,BOS,,,,,,,,,,,,,,
0.34,34.0,459023,,,70333908,1999,,,0.671532847,67.2,1888,,,3062699,0.58641975308641975309,58.6,BOS,,,,,,,,,,,,,,
0.34,34.1,67400,,,72821556,2000,,,0.503597122,50.4,1889,,,1581093,0.46913580246913580247,46.9,LAN,,,,,,,,,,,,,,
0.34,34.1,103069,,,72572686,2001,,,0.664285714,66.4,1889,,,1665034,0.45061728395061728395,45.1,LAN,,,,,,,,,,,,,,
0.34,34.1,3500,,,67944596,2002,,,0.664285714,66.4,1889,,,1697141,0.54037267080745341615,54.0,LAN,,,,,,,,,,,,,,
0.34,34.2,1065742,,,67650873,2003,,,0.62406015,62.4,1889,,,1794527,0.52469135802469135802,52.5,LAN,,,,,,,,,,,,,,
0.34,34.2,1503353,,,73019347,2004,,,0.448529412,44.9,1889,,,1804218,0.46103896103896103896,46.1,LAN,,,,,,,,,,,,,,
0.34,34.2,114000,,,74916980,2005,,,0.539007092,53.9,1889,,,1804865,0.57792207792207792208,57.8,LAN,,,,,,,,,,,,,,
0.34,34.2,310229,,,76035475,2006,,,0.192857143,19.3,1889,,,1860498,0.54838709677419354839,54.8,LAN,,,,,,,,,,,,,,
0.34,34.2,129163,,,79503680,2007,,,0.633587786,63.4,1889,,,2064549,0.54938271604938271605,54.9,LAN,,,,,,,,,,,,,,
0.34,34.4,17500,,,78622363,2008,,,0.633587786,63.4,1889,,,2083524,0.56410256410256410256,56.4,LAN,,,,,,,,,,,,,,
0.34,34.4,60000,,,73420188,2009,,,0.543478261,54.3,1889,,,2139452,0.58641975308641975309,58.6,LAN,,,,,,,,,,,,,,
0.34,34.4,158500,,,73074932,2010,,,0.638297872,63.8,1889,,,2234498,0.48780487804878048780,48.8,LAN,,,,,,,,,,,,,,
0.34,34.4,208080,,,73425667,2011,,,0.268656716,26.9,1890,,,2268988,0.53246753246753246753,53.2,LAN,,,,,,,,,,,,,,
0.34,34.4,347337,,,74859268,2012,,,0.394736842,39.5,1890,,,2280140,0.50877192982456140351,50.9,LAN,,,,,,,,,,,,,,
0.34,34.4,422001,,,74027037,2013,,,0.26,26.0,1890,,,2382579,0.57272727272727272727,57.3,LAN,,,,,,,,,,,,,,
0.34,34.4,568352,,,73739622,2014,,,0.666666667,66.7,1890,,,2386301,0.56790123456790123457,56.8,LAN,,,,,,,,,,,,,,
0.34,34.5,2200,,,73719340,2015,,,0.571428571,57.1,1890,,,2473366,0.38888888888888888889,38.9,LAN,,,,,,,,,,,,,,
0.34,34.5,9500,,,73159674,2016,,,0.567164179,56.7,1890,,,2538659,0.60736196319018404908,60.7,LAN,,,,,,,,,,,,,,
0.35,34.5,1200,,,,,,,0.623076923,62.3,1890,,,2552103,0.54320987654320987654,54.3,LAN,,,,,,,,,,,,,,
0.35,34.5,6000,,,,,,,0.597122302,59.7,1890,,,2560648,0.59876543209876543210,59.9,LAN,,,,,,,,,,,,,,
0.35,34.5,6300,,,,,,,0.543478261,54.3,1890,,,2617056,0.58641975308641975309,58.6,LAN,,,,,,,,,,,,,,
0.35,34.6,494411,,,,,,,0.574626866,57.5,1890,,,2629474,0.62962962962962962963,63.0,LAN,,,,,,,,,,,,,,
0.35,34.6,543631,,,,,,,0.323529412,32.4,1890,,,2766628,0.54166666666666666667,54.2,LAN,,,,,,,,,,,,,,
0.35,34.6,1371181,,,,,,,0.323529412,32.4,1890,,,2782526,0.61818181818181818182,61.8,LAN,,,,,,,,,,,,,,
0.35,34.6,1969153,,,,,,,0.564285714,56.4,1890,,,2800409,0.45061728395061728395,45.1,LAN,,,,,,,,,,,,,,
0.35,34.6,2067016,,,,,,,0.419847328,42.0,1890,,,2860954,0.48765432098765432099,48.8,LAN,,,,,,,,,,,,,,
0.35,34.6,98000,,,,,,,0.647058824,64.7,1890,,,2935139,0.50931677018633540373,50.9,LAN,,,,,,,,,,,,,,
0.35,34.8,154400,,,,,,,0.466666667,46.7,1890,,,2943833,0.48125000000000000000,48.1,LAN,,,,,,,,,,,,,,
0.35,34.9,755083,,,,,,,0.560606061,56.1,1890,,,2945087,0.60493827160493827160,60.5,LAN,,,,,,,,,,,,,,
0.35,35.0,635465,,,,,,,0.409090909,40.9,1890,,,2980262,0.58024691358024691358,58.0,LAN,,,,,,,,,,,,,,
0.35,35.0,866906,,,,,,,0.586466165,58.6,1890,,,3002950,0.53086419753086419753,53.1,LAN,,,,,,,,,,,,,,
0.35,35.1,219500,,,,,,,0.515151515,51.5,1890,,,3011539,0.53086419753086419753,53.1,LAN,,,,,,,,,,,,,,
0.35,35.1,228483,,,,,,,0.166666667,16.7,1890,,,3017143,0.53086419753086419753,53.1,LAN,,,,,,,,,,,,,,
0.35,35.1,321777,,,,,,,0.46875,46.9,1890,,,3033208,0.45061728395061728395,45.1,LAN,,,,,,,,,,,,,,
0.35,35.1,522941,,,,,,,0.561151079,56.1,1890,,,3089222,0.51234567901234567901,51.2,LAN,,,,,,,,,,,,,,
0.35,35.1,667287,,,,,,,0.4296875,43.0,1890,,,3098990,0.47530864197530864198,47.5,LAN,,,,,,,,,,,,,,
0.35,35.1,1060910,,,,,,,0.507462687,50.7,1890,,,3131255,0.56790123456790123457,56.8,LAN,,,,,,,,,,,,,,
0.35,35.2,686162,,,,,,,0.510791367,51.1,1891,,,3134824,0.48765432098765432099,48.8,LAN,,,,,,,,,,,,,,
0.35,35.2,1051863,,,,,,,0.669064748,66.9,1891,,,3138696,0.52469135802469135802,52.5,LAN,,,,,,,,,,,,,,
0.35,35.2,1613399,,,,,,,0.442028986,44.2,1891,,,3164720,0.50000000000000000000,50.0,LAN,,,,,,,,,,,,,,
0.35,35.3,105026,,,,,,,0.421568627,42.2,1891,,,3188454,0.55555555555555555556,55.6,LAN,,,,,,,,,,,,,,
0.35,35.3,558367,,,,,,,0.583333333,58.3,1891,,,3248887,0.56441717791411042945,56.4,LAN,,,,,,,,,,,,,,
0.35,35.4,735900,,,,,,,0.522058824,52.2,1891,,,3264683,0.58641975308641975309,58.6,LAN,,,,,,,,,,,,,,
0.36,35.7,146309,,,,,,,0.51048951,51.0,1891,,,3319320,0.54320987654320987654,54.3,LAN,,,,,,,,,,,,,,
0.36,35.7,223050,,,,,,,0.492753623,49.3,1891,,,3324246,0.53086419753086419753,53.1,LAN,,,,,,,,,,,,,,
0.36,35.7,470437,,,,,,,0.401459854,40.1,1891,,,3346630,0.57407407407407407407,57.4,LAN,,,,,,,,,,,,,,
0.36,35.8,1661478,,,,,,,0.602836879,60.3,1891,,,3347803,0.58641975308641975309,58.6,LAN,,,,,,,,,,,,,,
0.36,35.8,565615,,,,,,,0.302631579,30.3,1892,,,3488283,0.57407407407407407407,57.4,LAN,,,,,,,,,,,,,,
0.36,35.8,1038439,,,,,,,0.601265823,60.1,1892,,,3509313,0.55828220858895705521,55.8,LAN,,,,,,,,,,,,,,
0.36,35.9,203411,,,,,,,0.671052632,67.1,1892,,,3562318,0.49382716049382716049,49.4,LAN,,,,,,,,,,,,,,
0.36,35.9,37500,,,,,,,0.476190476,47.6,1892,,,3603680,0.43827160493827160494,43.8,LAN,,,,,,,,,,,,,,
0.36,35.9,514241,,,,,,,0.529032258,52.9,1892,,,3608881,0.54320987654320987654,54.3,LAN,,,,,,,,,,,,,,
0.36,36.1,11000,,,,,,,0.607843137,60.8,1892,,,3703312,0.56172839506172839506,56.2,LAN,,,,,,,,,,,,,,
0.36,36.1,423622,,,,,,,0.409090909,40.9,1892,,,3730553,0.51851851851851851852,51.9,LAN,,,,,,,,,,,,,,
0.36,36.2,205000,,,,,,,0.464052288,46.4,1892,,,3743527,0.56790123456790123457,56.8,LAN,,,,,,,,,,,,,,
0.36,36.2,837886,,,,,,,0.561290323,56.1,1892,,,3758421,0.54320987654320987654,54.3,LAN,,,,,,,,,,,,,,
0.36,36.2,2000,,,,,,,0.516129032,51.6,1892,,,3761669,0.58641975308641975309,58.6,LAN,,,,,,,,,,,,,,
0.36,36.4,185500,,,,,,,0.361290323,36.1,1892,,,3764815,0.56790123456790123457,56.8,LAN,,,,,,,,,,,,,,
0.36,36.4,807697,,,,,,,0.379084967,37.9,1892,,,3782337,0.58024691358024691358,58.0,LAN,,,,,,,,,,,,,,
0.36,36.4,523276,,,,,,,0.461538462,46.2,1893,,,3856753,0.50617283950617283951,50.6,LAN,,,,,,,,,,,,,,
0.36,36.4,593068,,,,,,,0.65648855,65.6,1893,,,0,0.46710526315789473684,46.7,NYA,,,,,,,,,,,,,,
0.36,36.4,635890,,,,,,,0.4375,43.8,1893,,,0,0.48366013071895424837,48.4,NYA,,,,,,,,,,,,,,
0.36,36.4,1543620,,,,,,,0.4375,43.8,1893,,,0,0.51282051282051282051,51.3,NYA,,,,,,,,,,,,,,
0.36,36.4,1817280,,,,,,,0.496183206,49.6,1893,,,0,0.32903225806451612903,32.9,NYA,,,,,,,,,,,,,,
0.36,36.4,1873115,,,,,,,0.565891473,56.6,1893,,,0,0.46052631578947368421,46.1,NYA,,,,,,,,,,,,,,
0.36,36.4,1963912,,,,,,,0.5,50.0,1893,,,0,0.59354838709677419355,59.4,NYA,,,,,,,,,,,,,,
0.36,36.4,26933,,,,,,,0.541353383,54.1,1893,,,0,0.52941176470588235294,52.9,NYA,,,,,,,,,,,,,,
0.37,36.5,8300,,,,,,,0.422222222,42.2,1893,,,0,0.59354838709677419355,59.4,NYA,,,,,,,,,,,,,,
0.37,36.5,859200,,,,,,,0.307692308,30.8,1893,,,0,0.56410256410256410256,56.4,NYA,,,,,,,,,,,,,,
0.37,36.6,1562509,,,,,,,0.689922481,69.0,1894,,,8000,0.47619047619047619048,47.6,NYA,,,,,,,,,,,,,,
0.37,36.6,2320400,,,,,,,0.52238806,52.2,1894,,,26000,0.32679738562091503268,32.7,NYA,,,,,,,,,,,,,,
0.37,36.8,8000,,,,,,,0.62406015,62.4,1894,,,40743,0.70370370370370370370,70.4,NYA,,,,,,,,,,,,,,
0.37,36.8,66806,,,,,,,0.62406015,62.4,1894,,,44500,0.58064516129032258065,58.1,NYA,,,,,,,,,,,,,,
0.37,36.8,278150,,,,,,,0.62406015,62.4,1894,,,130791,0.44805194805194805195,44.8,NYA,,,,,,,,,,,,,,
